symbol,company,sector_logic,peer_group,financial_subtype,universe_as_of,source_note
3231,緯創,GENERAL,COMPUTER_HARDWARE,,2026-09-03,2025-09 FTSE list rolled through 2025-12 2026-03 and 2026-06 reviews
3443,創意,GENERAL,IC_DESIGN,,2026-09-03,Added in 2026-06 review
3653,健策,GENERAL,THERMAL_MANAGEMENT,,2026-09-03,Added in 2025-12 review
3661,世芯-KY,GENERAL,IC_DESIGN,,2026-09-03,2025-09 FTSE list rolled through 2025-12 2026-03 and 2026-06 reviews
3665,貿聯-KY,GENERAL,INTERCONNECT,,2026-09-03,Added in 2026-06 review
3711,日月光投控,GENERAL,SEMICONDUCTOR_PACKAGING,,2026-09-03,2025-09 FTSE list rolled through 2025-12 2026-03 and 2026-06 reviews
4904,遠傳,GENERAL,TELECOM,,2026-09-03,2025-09 FTSE list rolled through 2025-12 2026-03 and 2026-06 reviews
4958,臻鼎-KY,GENERAL,PCB,,2026-09-03,Added in 2026-06 review
5880,合庫金,FINANCIAL,BANK_HOLDING,BANK_HOLDING,2026-09-03,2025-09 FTSE list rolled through 2025-12 2026-03 and 2026-06 reviews
6505,台塑化,CYCLICAL,PETROCHEMICAL,,2026-09-03,2025-09 FTSE list rolled through 2025-12 2026-03 and 2026-06 reviews
6669,緯穎,GENERAL,COMPUTER_HARDWARE,,2026-09-03,2025-09 FTSE list rolled through 2025-12 2026-03 and 2026-06 reviews
7769,鴻勁,GENERAL,SEMICONDUCTOR_EQUIPMENT,,2026-09-03,Added in 2026-03 review; genuine issuer listing history is short
8046,南電,CYCLICAL,PCB_SUBSTRATE,,2026-09-03,Added in 2026-06 review; vendor source history is insufficient and must not be described as short company history
