symbol,company,industry,peer_group,sector_logic,quality,fundamental_state,valuation,pe,pb,roe,roic,revenue_yoy,peer_pe_percentile,peer_pb_percentile,peer_roe_percentile,peer_roic_percentile,peer_revenue_yoy_percentile,peer_context_note
3037,欣興,電子零組件業,PCB,GENERAL,ACCEPTABLE,IMPROVING,NORMAL,61.45,11.85,0.23699739825900312,0.15666419726711298,0.20520188806277484,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,Business-model peer taxonomy; descriptive only and never a composite score
3045,台灣大,電子工業,TELECOM,GENERAL,WEAK,IMPROVING,NORMAL,22.31,4.27,0.21801002310535533,0.14013676187542684,0.01681048619976422,0.3333333333333333,0.6666666666666666,1.0,1.0,0.3333333333333333,Business-model peer taxonomy; descriptive only and never a composite score
3231,緯創,電子工業,COMPUTER_HARDWARE,GENERAL,WEAK,STABLE,NORMAL,14.97,3.09,0.4344137831229172,0.19056636629629806,1.0650702763009399,1.0,0.5,0.75,0.5,1.0,Business-model peer taxonomy; descriptive only and never a composite score
3443,創意,半導體業,IC_DESIGN,GENERAL,UNKNOWN,IMPROVING,HIGH,148.68,57.72,0.4308537477076516,,0.7994199344537345,1.0,1.0,1.0,,1.0,Business-model peer taxonomy; descriptive only and never a composite score
3653,健策,電子零組件業,THERMAL_MANAGEMENT,GENERAL,GOOD,STABLE,HIGH,126.72,34.94,0.33623921441620375,0.535526879101298,0.2772248291190462,1.0,1.0,0.5,0.5,0.5,Business-model peer taxonomy; descriptive only and never a composite score
3661,世芯-KY,電子工業,IC_DESIGN,GENERAL,UNKNOWN,UNKNOWN,NORMAL,59.4,5.79,0.12316631192780121,,-0.5134448894459772,0.3333333333333333,0.3333333333333333,0.3333333333333333,,0.3333333333333333,Business-model peer taxonomy; descriptive only and never a composite score
3665,貿聯-KY,電子工業,INTERCONNECT,GENERAL,WEAK,STABLE,HIGH,38.56,8.27,0.24659285928893712,0.2587460460567234,0.33394810277716,1.0,1.0,1.0,1.0,1.0,Business-model peer taxonomy; descriptive only and never a composite score
3711,日月光投控,電子工業,SEMICONDUCTOR_PACKAGING,GENERAL,WEAK,IMPROVING,HIGH,42.62,6.66,0.18282643417059002,0.11393435223945052,0.14476350216909406,1.0,1.0,1.0,1.0,1.0,Business-model peer taxonomy; descriptive only and never a composite score
4904,遠傳,電子工業,TELECOM,GENERAL,WEAK,IMPROVING,NORMAL,25.18,4.33,0.1765458130659344,0.13862804951743996,0.09862344970810089,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,1.0,Business-model peer taxonomy; descriptive only and never a composite score
4958,臻鼎-KY,電子工業,PCB,GENERAL,WEAK,UNKNOWN,HIGH,54.91,3.34,0.11178649222311034,0.13401939977509725,0.04522304142251121,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,Business-model peer taxonomy; descriptive only and never a composite score
5880,合庫金,金融保險,BANK_HOLDING,FINANCIAL,UNKNOWN,UNKNOWN,NORMAL,17.45,1.44,0.1839048679515432,,0.06460392152835936,0.5714285714285714,0.14285714285714285,0.42857142857142855,,0.14285714285714285,Business-model peer taxonomy; descriptive only and never a composite score
6505,台塑化,油電燃氣業,PETROCHEMICAL,CYCLICAL,WEAK,UNKNOWN,HIGH,13.28,1.5,0.1418855311987369,0.13697942340385164,0.017933400611136685,0.5,0.5,1.0,1.0,0.5,Business-model peer taxonomy; descriptive only and never a composite score
6669,緯穎,電腦及週邊設備業,COMPUTER_HARDWARE,GENERAL,WEAK,STABLE,LOW,7.93,3.37,0.5108218297671515,0.47179026165661814,0.8417132616422387,0.25,0.75,1.0,1.0,0.75,Business-model peer taxonomy; descriptive only and never a composite score
7769,鴻勁,電子工業,SEMICONDUCTOR_EQUIPMENT,GENERAL,UNKNOWN,UNKNOWN,LOW,60.6,18.59,0.4847718719424585,,,1.0,1.0,1.0,,,Business-model peer taxonomy; descriptive only and never a composite score
8046,南電,電子零組件業,PCB_SUBSTRATE,CYCLICAL,UNKNOWN,UNKNOWN,HIGH,126.91,14.17,0.1187664280657683,,0.33562989187508885,1.0,1.0,1.0,,1.0,Business-model peer taxonomy; descriptive only and never a composite score
